Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.13_18.48.04,--,5G NSA,-99,-11.0,15.0,1,5,D,PERIODIC,mcar
2024.06.13_18.48.05,--,5G NSA,-97,-11.0,14.0,7,6,D,PERIODIC,mcar
2024.06.13_18.48.06,--,5G NSA,-97,-11.0,14.0,4,7,D,PERIODIC,mcar
2024.06.13_18.48.07,--,5G NSA,-87,-11.0,14.0,5,5,D,PERIODIC,mcar
2024.06.13_18.48.08,--,5G NSA,-78,-11.0,19.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.09,--,5G NSA,-87,-11.0,18.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.10,--,5G NSA,-91,-11.0,18.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.11,--,5G NSA,-91,-11.0,15.0,4,6,D,PERIODIC,mcar
2024.06.13_18.48.12,--,5G NSA,-100,-11.0,13.0,5,5,D,PERIODIC,mcar
2024.06.13_18.48.13,--,5G NSA,-102,-11.0,12.0,4,6,D,PERIODIC,mcar
2024.06.13_18.48.14,--,5G NSA,-106,-11.0,14.0,22,29,D,PERIODIC,mcar
2024.06.13_18.48.15,--,5G NSA,-108,-11.0,14.0,6,7,D,PERIODIC,mcar
2024.06.13_18.48.16,--,5G NSA,-110,-11.0,16.0,4,7,D,PERIODIC,mcar
2024.06.13_18.48.17,--,5G NSA,-110,-11.0,16.0,5,5,D,PERIODIC,mcar
2024.06.13_18.48.18,--,5G NSA,-109,-11.0,15.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.19,--,5G NSA,-107,-11.0,15.0,35,56,D,PERIODIC,mcar
2024.06.13_18.48.20,--,5G NSA,-103,-11.0,15.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.21,--,5G NSA,-104,-11.0,14.0,1,5,D,PERIODIC,mcar
2024.06.13_18.48.22,--,5G NSA,-106,-11.0,12.0,8,7,D,PERIODIC,mcar
2024.06.13_18.48.23,--,5G NSA,-104,-11.0,9.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.24,--,5G NSA,-100,-11.0,9.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.25,--,5G NSA,-96,-11.0,7.0,6,14,D,PERIODIC,mcar
2024.06.13_18.48.26,--,5G NSA,-96,-11.0,5.0,4,5,D,PERIODIC,mcar
2024.06.13_18.48.27,--,5G NSA,-93,-11.0,5.0,4,6,D,PERIODIC,mcar
2024.06.13_18.48.28,--,5G NSA,-89,-11.0,9.0,5,5,D,PERIODIC,mcar
