Timestamp,NetworkTech,NetworkMode,Level,Qual,SNR,DL_bitrate,UL_bitrate,State,EVENT,source_file
2024.06.15_09.07.56,--,5G NSA,-95,-11.0,24.0,9,6,D,PERIODIC,mc8
2024.06.15_09.07.57,--,5G NSA,-98,-11.0,23.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.58,--,5G NSA,-97,-11.0,23.0,4,5,D,PERIODIC,mc8
2024.06.15_09.07.59,--,5G NSA,-97,-11.0,24.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.00,--,5G NSA,-94,-11.0,23.0,9,20,D,PERIODIC,mc8
2024.06.15_09.08.01,--,5G NSA,-91,-11.0,23.0,6,5,D,PERIODIC,mc8
2024.06.15_09.08.02,--,5G NSA,-90,-11.0,22.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.03,--,5G NSA,-92,-11.0,21.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.04,--,5G NSA,-94,-11.0,20.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.05,--,5G NSA,-95,-11.0,19.0,4,6,D,PERIODIC,mc8
2024.06.15_09.08.06,--,5G NSA,-89,-11.0,24.0,8,6,D,PERIODIC,mc8
2024.06.15_09.08.07,--,5G NSA,-84,-11.0,26.0,7,15,D,PERIODIC,mc8
2024.06.15_09.08.08,--,5G NSA,-84,-11.0,26.0,4,6,D,PERIODIC,mc8
2024.06.15_09.08.09,--,5G NSA,-85,-11.0,24.0,4,6,D,PERIODIC,mc8
2024.06.15_09.08.10,--,5G NSA,-85,-11.0,23.0,6,16,D,PERIODIC,mc8
2024.06.15_09.08.11,--,5G NSA,-85,-11.0,25.0,4,7,D,PERIODIC,mc8
2024.06.15_09.08.12,--,5G NSA,-83,-11.0,26.0,5,5,D,PERIODIC,mc8
2024.06.15_09.08.13,--,5G NSA,-83,-11.0,25.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.14,--,5G NSA,-83,-11.0,25.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.15,--,5G NSA,-81,-11.0,26.0,4,6,D,PERIODIC,mc8
2024.06.15_09.08.16,--,5G NSA,-79,-11.0,26.0,7,6,D,PERIODIC,mc8
2024.06.15_09.08.17,--,5G NSA,-78,-11.0,25.0,6,9,D,PERIODIC,mc8
2024.06.15_09.08.18,--,5G NSA,-81,-11.0,25.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.19,--,5G NSA,-79,-11.0,23.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.20,--,5G NSA,-79,-11.0,20.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.21,--,5G NSA,-76,-11.0,18.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.22,--,5G NSA,-81,-11.0,22.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.23,--,5G NSA,-70,-11.0,21.0,4,7,D,PERIODIC,mc8
2024.06.15_09.08.24,--,5G NSA,-69,-11.0,18.0,5,5,D,PERIODIC,mc8
2024.06.15_09.08.25,--,5G NSA,-68,-11.0,18.0,9,17,D,PERIODIC,mc8
2024.06.15_09.08.26,--,5G NSA,-62,-11.0,14.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.27,--,5G NSA,-62,-11.0,11.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.28,--,5G NSA,-63,-11.0,15.0,7,6,D,PERIODIC,mc8
2024.06.15_09.08.29,--,5G NSA,-65,-11.0,20.0,7,8,D,PERIODIC,mc8
2024.06.15_09.08.30,--,5G NSA,-70,-11.0,20.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.31,--,5G NSA,-72,-11.0,19.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.32,--,5G NSA,-74,-11.0,19.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.33,--,5G NSA,-81,-13.0,17.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.34,--,5G NSA,-80,-17.0,14.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.35,--,5G NSA,-81,-17.0,14.0,4,6,D,PERIODIC,mc8
2024.06.15_09.08.36,--,5G NSA,-81,-15.0,24.0,0,9,D,PERIODIC,mc8
2024.06.15_09.08.37,--,5G NSA,-75,-11.0,18.0,8,6,D,PERIODIC,mc8
2024.06.15_09.08.38,--,5G NSA,-69,-11.0,23.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.39,--,5G NSA,-68,-11.0,25.0,4,5,D,PERIODIC,mc8
2024.06.15_09.08.40,--,5G NSA,-66,-11.0,22.0,73,57,D,PERIODIC,mc8
2024.06.15_09.08.41,--,5G NSA,-65,-11.0,19.0,7,5,D,PERIODIC,mc8
2024.06.15_09.08.42,--,5G NSA,-66,-11.0,19.0,4,6,D,PERIODIC,mc8
2024.06.15_09.08.43,--,5G NSA,-74,-11.0,23.0,4,6,D,PERIODIC,mc8
2024.06.15_09.08.44,--,5G NSA,-80,-11.0,23.0,4,6,D,PERIODIC,mc8
